#SKU_QUANTITY_LIST, X, Y, PALLET_ID
"104151:9,840211:35,1297235:1",18,8,10000
"901897:13,1297235:18,2171945:14",19,16,10001
"653296:69",14,12,10002
"1473101:66",18,15,10003
"961380:8,1187577:49",14,6,10004
"1506688:73,1666223:2",14,13,10005
"416906:31,1335857:34,1418322:8,2483514:49",21,16,10006
"901900:17,954227:30",7,15,10007
"1187564:25,1285328:40",11,16,10008
"1274286:23,1473101:34,2483514:92",22,6,10009
"746439:7,1302641:23",20,15,10010
"195285:30,653296:17",20,9,10011
"243216:180,1748526:12",19,12,10012
"1622955:68",5,9,10013
"961380:10,1187577:56",5,6,10014
"2208582:36,2316002:22",22,8,10015
"1060862:4,1447319:95",8,13,10016
"732381:31",17,16,10017
"840211:33,1285203:21",7,9,10018
"553114:52,1162136:15,1447319:39",13,15,10019
"526827:36",23,9,10020
"1308094:9,1376233:19,1436639:20",25,8,10021
"528133:2,1086094:15,1324976:23",12,8,10022
"1162131:35",20,6,10023
"695477:52,1302641:19,1335857:35",8,8,10024
"1859006:60,2291431:3",5,5,10025
"646224:23,954227:27,2208582:42",25,13,10026
"104151:27,1376233:12,1447319:14",9,6,10027
"840211:34,1060862:14,1279544:7",6,16,10028
"195285:30,1239048:19,2171826:2",17,12,10029
"954227:29,1490144:1,2483514:88",14,5,10030
"1506688:80",7,6,10031
"1060862:16,1297235:16,1332937:5",23,8,10032
"732354:69",14,15,10033
"553114:55,594842:16,1239048:18",24,5,10034
"435168:8,954227:20,1187577:48",24,8,10035
"1285328:41,1297235:17",23,12,10036
"1282174:29",8,5,10037
"553114:37,1308094:11,2483514:14",12,16,10038
"1279544:8,1471608:18",21,12,10039
"243215:49",6,9,10040
"873486:2,910144:50,1282174:5",18,6,10041
"1086094:29",18,16,10042
"1447319:90",5,8,10043
"910135:47,1302641:8",22,13,10044
"819705:24,1003105:25",24,6,10045
"840211:1,2166390:32",7,5,10046
"863383:16,1335857:25",11,13,10047
"840211:32,1969688:8,2483514:91",6,15,10048
"840211:31,1305610:2",21,13,10049
"1335857:53,2024548:12",26,9,10050
"195285:7,1335857:55",17,13,10051
"2261629:32",26,8,10052
"2177427:93",8,6,10053
"548501:28,901900:3,1404779:8",24,9,10054
"318139:3,1303547:4,2247905:42",21,15,10055
"548501:28,646197:24,1413820:29",9,13,10056
"1298675:35",9,15,10057
"1263718:4,1748525:31",11,5,10058
"1404779:4,2949632:45",18,5,10059
"2243169:33,2339892:136",11,9,10060
"435168:7,548501:28,2285122:11",7,13,10061
"1335852:49",9,9,10062
"548501:11,901902:20,1229446:13,1909888:9",8,16,10063
"548500:27,548501:27,1404779:8",11,8,10064
